CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Halo,ln_peak_intensity
0.097080292,0.08988764,0.486111111,0.577777778,0.081287855,0.126436782,0,0
0.251824818,0.320224719,0.55,0.563888889,0.207523111,0.264367816,0,0
0.116423358,0.769662921,0.222222222,0.113888889,0.086707045,0.367816092,0,0
0.06459854,0.359550562,0.625,0.65,0.071405802,0.356321839,0,0
0.091240876,0.848314607,0.591666667,0.952777778,0.078737647,0.103448276,0,0
0.078467153,0.629213483,0.230555556,0.202777778,0.085113165,0.24137931,0,0
0.156934307,0.505617978,0.388888889,0.733333333,0.052916799,0.264367816,0,0
0.129927007,0.623595506,0.333333333,0.227777778,0.082562958,0.08045977,0,0
0.094890511,0.651685393,0.483333333,0.172222222,0.068855595,0.137931034,0,0
0.134671533,0.629213483,0.230555556,0.155555556,0.140580172,0.379310345,0,0
0.149635036,0.735955056,0.236111111,0.211111111,0.24418234,0.379310345,0,0
0.306569343,0.713483146,0.627777778,0.902777778,0.237488046,0.172413793,0,0
0.109489051,0.561797753,0.361111111,0.230555556,0.08479439,0.32183908,0,0
0.087591241,0.623595506,0.758333333,0.830555556,0.291042397,0.310344828,0,0
0.116788321,0.365168539,0.25,0.305555556,0.088938476,0.172413793,0,0
0.067518248,0.752808989,0.75,0.891666667,0.056423334,0.24137931,0,0
0.140510949,0.573033708,0.711111111,0.719444444,0.161938157,0.448275862,0,0
0.125182482,0.52247191,0.75,0.769444444,0.153649984,0.287356322,0,0
0.208029197,0.926966292,0.4,0.994444444,0.352884922,0.367816092,0,0
0.141970803,0.747191011,0.241666667,0.125,0.095313994,0.172413793,0,0
0.119343066,0.41011236,0.35,0.327777778,0.19126554,0.379310345,0,0
0.069343066,0.887640449,0.986111111,0.983333333,0.075231113,0.287356322,0,0
0.032846715,0.584269663,0.369444444,0.25,0.065030284,0.264367816,0,0
0.087591241,0.719101124,0.483333333,0.833333333,0.048135161,0.149425287,0,0
0.197080292,0.904494382,0.291666667,0.041666667,0.164807141,0.252873563,0,0
0.04379562,0.337078652,0.413888889,0.394444444,0.039528212,0.448275862,0,0
0.120437956,0.769662921,0.294444444,0.108333333,0.113165445,0.229885057,0,0
0.233576642,0.707865169,0.386111111,0.125,0.152693656,0.045977011,0,0
0.105839416,0.792134831,0.338888889,0.102777778,0.101689512,0.229885057,0,0
0.071167883,0.629213483,0.194444444,0.219444444,0.106471151,0.32183908,0,0
0.138686131,0.483146067,0.313888889,0.266666667,0.183296143,0.195402299,0,0
0.151459854,0.292134831,0.913888889,0.55,0.120178515,0.229885057,0,0
0.023722628,0.308988764,0.75,0.277777778,0.136436085,0.287356322,0,0
0.083941606,0.752808989,0.411111111,0.080555556,0.074274785,0.183908046,0,0
0.065328467,0.471910112,0.252777778,0.272222222,0.108383806,0.068965517,0,0
0.097080292,0.853932584,0.897222222,0.233333333,0.032833918,0.137931034,0,0
0.087591241,0.241573034,0.05,0.452777778,0.043672298,0.126436782,0,0
0.135036496,0.533707865,0.588888889,0.758333333,0.134204654,0.459770115,0,0
0.22919708,0.494382022,0.883333333,0.766666667,0.137392413,0.137931034,0,0
0.060218978,0.426966292,0.25,0.286111111,0.058017214,0.287356322,0,0
0.160583942,0.56741573,0.052777778,0.055555556,0.128466688,0.402298851,0,0
0.091240876,0.764044944,0.45,0.069444444,0.075549888,0.091954023,0,0
0.201094891,0.426966292,0.277777778,0.469444444,0.013707364,0.298850575,0,0
